date,location,block,pasture,patch,subpatch,plot,array,arrayID,sample,LAI,SoilMoisture,FuelMoisture,burned
2019-05-07T00:00:00Z,CGREC,BAR,NW,NE,NA,3,2,3,NA,NA,NA,0.128983308,
2019-05-07T00:00:00Z,CGREC,BAR,NW,NE,NA,3,3,1,NA,NA,NA,0.171656687,
2019-05-07T00:00:00Z,CGREC,BAR,NW,NE,NA,3,3,2,NA,NA,NA,0.225185185,
2019-05-07T00:00:00Z,CGREC,BAR,NW,NE,NA,3,3,3,NA,NA,NA,0.155080214,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,1,1,1,NA,NA,76.2,0.103433658,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,1,1,2,NA,NA,74,0.144340602,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,1,1,3,NA,NA,67.3,0.192355117,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,1,2,1,NA,NA,55.7,0.108275862,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,1,2,2,NA,NA,56.5,0.145945946,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,1,2,3,NA,NA,61.5,0.131782946,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,1,3,1,NA,NA,47.3,0.095371109,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,1,3,2,NA,NA,46.2,0.092948718,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,1,3,3,NA,NA,46.8,0.119646499,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,2,1,1,NA,NA,53.7,0.089992801,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,2,1,2,NA,NA,53.7,0.138392857,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,2,1,3,NA,NA,54.5,0.09135201,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,2,2,1,NA,NA,50.7,0.131313131,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,2,2,2,NA,NA,37.6,0.095950704,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,2,2,3,NA,NA,37.9,0.079289941,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,2,3,1,NA,NA,42.3,0.085092348,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,2,3,2,NA,NA,21.8,0.216297787,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,2,3,3,NA,NA,41.2,0.07814992,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,3,1,1,NA,NA,32.2,0.275045537,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,3,1,2,NA,NA,25.7,0.206299213,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,3,1,3,NA,NA,19.8,0.219827586,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,3,2,1,NA,NA,33.4,0.214818498,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,3,2,2,NA,NA,30.7,0.255319149,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,3,2,3,NA,NA,27,0.166852058,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,3,3,1,NA,NA,33.7,0.156899811,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,3,3,2,NA,NA,29.3,0.187331536,
2019-05-07T00:00:00Z,CGREC,BAR,SW,SE,NA,3,3,3,NA,NA,31.8,0.192189893,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,1,1,1,NA,NA,31.2,0.178035471,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,1,1,2,NA,NA,30.4,0.325705568,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,1,1,3,NA,NA,27.3,0.278567017,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,1,2,1,NA,NA,38.4,0.203492787,
