LoggerID,Date,TimeStamp,1,2,3,4
4,5/7/2019,10:56:13.0,19,18,21,24.12
4,5/7/2019,10:56:13.1,19.25,18,21.25,24.44
4,5/7/2019,10:56:14.0,19,17.75,21.25,24.12
4,5/7/2019,10:56:14.1,19,17.75,21.25,24.12
4,5/7/2019,10:56:15.0,19.25,17.75,21.25,24.12
4,5/7/2019,10:56:15.1,18.75,17.75,21,24.44
4,5/7/2019,10:56:16.0,18.75,17.75,21,24.44
4,5/7/2019,10:56:16.1,19,17.75,21.25,24.44
4,5/7/2019,10:56:17.0,19,18,21.5,24.44
4,5/7/2019,10:56:18.0,19,18,21.5,24.44
4,5/7/2019,10:56:18.1,19.25,18,21.5,24.44
4,5/7/2019,10:56:19.0,19.25,18,21.75,24.44
4,5/7/2019,10:56:19.1,19,18,21.5,24.44
4,5/7/2019,10:56:20.0,19,18.25,21.75,24.44
4,5/7/2019,10:56:20.1,18.75,18,21.75,24.77
4,5/7/2019,10:56:21.0,19,18.25,22,24.44
4,5/7/2019,10:56:21.1,19,18.25,22,24.44
4,5/7/2019,10:56:22.0,19.25,18.25,22,24.77
4,5/7/2019,10:56:22.1,19,18,22,24.12
4,5/7/2019,10:56:23.0,19,18.25,21.75,24.44
4,5/7/2019,10:56:24.0,19,18,21.75,24.77
4,5/7/2019,10:56:24.1,19,18,22,24.44
4,5/7/2019,10:56:25.0,19,18,22,24.12
4,5/7/2019,10:56:25.1,18.75,18,21.75,24.44
4,5/7/2019,10:56:26.0,18.75,17.75,22,24.12
4,5/7/2019,10:56:26.1,19,17.75,22,24.44
4,5/7/2019,10:56:27.0,19,17.75,22,24.44
4,5/7/2019,10:56:27.1,19,18,22,24.44
4,5/7/2019,10:56:28.0,19,18,21.75,24.44
4,5/7/2019,10:56:28.1,19,18,21.75,24.77
4,5/7/2019,10:56:29.0,19,18,22,24.44
4,5/7/2019,10:56:30.0,19.25,18,22.25,24.12
4,5/7/2019,10:56:30.1,19.25,18,22.5,24.44
4,5/7/2019,10:56:31.0,19.25,18,22.5,24.12
4,5/7/2019,10:56:31.1,19.25,18,22.5,24.12
4,5/7/2019,10:56:32.0,19.25,18.25,22.75,24.44
4,5/7/2019,10:56:32.1,19.25,18.25,23,24.44
4,5/7/2019,10:56:33.0,19.25,18,23,24.12
