Logger_ID	Date	Time_Stamp	1	2	3	4
3	10/7/2019	13:26:57	25	23.25	26	22.19
3	10/7/2019	13:26:57	25	23.25	26	22.19
3	10/7/2019	13:26:58	25.25	23.25	26	22.51
3	10/7/2019	13:26:58	25.25	23.25	26	22.19
3	10/7/2019	13:26:59	25.25	23.25	26	22.19
3	10/7/2019	13:27:00	25.25	23.25	26	22.51
3	10/7/2019	13:27:00	25.25	23.25	26	22.19
3	10/7/2019	13:27:01	25.25	23	25.75	22.51
3	10/7/2019	13:27:01	25.25	23.25	25.75	22.51
3	10/7/2019	13:27:02	25.25	23.25	25.75	22.19
3	10/7/2019	13:27:02	25.25	23.25	25.75	22.19
3	10/7/2019	13:27:03	25.25	23.25	25.75	22.51
3	10/7/2019	13:27:03	25.25	23.25	25.75	22.83
3	10/7/2019	13:27:04	25.25	23	25.75	22.51
3	10/7/2019	13:27:04	25.25	23.25	25.75	22.19
3	10/7/2019	13:27:05	25.25	23.25	25.75	22.51
3	10/7/2019	13:27:06	25.25	23.25	25.75	22.51
3	10/7/2019	13:27:06	25.25	23.25	25.75	22.51
3	10/7/2019	13:27:07	25.25	23.25	25.75	22.83
3	10/7/2019	13:27:07	25.25	23.25	25.75	22.51
3	10/7/2019	13:27:08	25.25	23.25	25.75	22.51
3	10/7/2019	13:27:08	25.25	23.25	25.75	22.51
3	10/7/2019	13:27:09	25.25	23.25	25.75	22.51
3	10/7/2019	13:27:09	25.25	23.25	25.75	22.51
3	10/7/2019	13:27:10	25.25	23.25	25.75	22.83
3	10/7/2019	13:27:10	25.25	23.25	25.75	22.83
3	10/7/2019	13:27:11	25.25	23	25.75	22.51
3	10/7/2019	13:27:12	25.25	23	25.75	22.51
3	10/7/2019	13:27:12	25.25	23	25.5	22.83
3	10/7/2019	13:27:13	25	22.75	25.75	22.51
3	10/7/2019	13:27:13	25.25	22.75	25.75	22.83
3	10/7/2019	13:27:14	25.25	22.75	25.75	22.83
3	10/7/2019	13:27:14	25.25	22.75	25.75	22.83
3	10/7/2019	13:27:15	25	22.75	25.75	22.83
3	10/7/2019	13:27:15	25	22.75	25.75	22.83
3	10/7/2019	13:27:16	25	22.75	25.75	22.83
3	10/7/2019	13:27:16	25	22.75	25.75	23.15
3	10/7/2019	13:27:17	25	22.75	25.75	22.83
3	10/7/2019	13:27:18	25	22.75	25.75	22.83
3	10/7/2019	13:27:18	25	23	25.75	22.51
3	10/7/2019	13:27:19	25	22.75	25.75	22.83
3	10/7/2019	13:27:19	25	22.75	25.5	22.83
3	10/7/2019	13:27:20	25	23	25.5	22.83
3	10/7/2019	13:27:20	25	23	25.75	22.83
3	10/7/2019	13:27:21	25	23	25.75	22.83
