FireCode,location,block,pasture,patch,year,JD,plot,array,AirTemp,dpC,FuelMoisture,LAI,MaxC,MaxWindSpeed,WindSpeed,RH,VPD,ros,SoilMaxC,tHa
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,133,2,2,22.05,7.43,35.64,0.56,190.25,33.69,20.01,38.9,16.2058392,0.817911479,NA,2.456
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,133,2,3,22.05,7.43,33.04333333,0.743333333,390.5,33.69,20.01,38.9,16.2058392,11.92079121,39.75,2.8928
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,133,3,1,22.05,7.43,33.36,0.2,165.8333333,33.69,20.01,38.9,16.2058392,0.319722365,NA,3.242133333
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,133,3,2,22.05,7.43,35.71,0.393333333,181.75,33.69,20.01,38.9,16.2058392,0.560348105,NA,2.5616
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,133,3,3,22.05,7.43,39.43666667,0.643333333,185.3333333,33.69,20.01,38.9,16.2058392,0.074071967,27.5,2.656533333
CG.BAR.SW.NE.18,CG,BAR,SW,NE,18,136,1,1,27.25333333,8.036666667,64.71,0.746666667,120.0833333,17.79666667,5.953333333,29.63,25.43849217,0.019682852,61,2.0016
CG.BAR.SW.NE.18,CG,BAR,SW,NE,18,136,1,2,27.47333333,7.97,74.23,0.206666667,43.33333333,18.01666667,6.28,29.10333333,25.95611539,0.04276043,45.5,0.7776
CG.BAR.SW.NE.18,CG,BAR,SW,NE,18,136,1,3,27.47333333,7.97,87.34,0.203333333,46.41666667,18.01666667,6.28,29.10333333,25.95611539,0.046885456,46,0.8576
CG.BAR.SW.NE.18,CG,BAR,SW,NE,18,136,2,1,26.54,8.68,72.26666667,0.766666667,73.58333333,23.9,6.88,32.25,23.47348358,0.804566206,NA,2.068266667
CG.BAR.SW.NE.18,CG,BAR,SW,NE,18,136,2,2,26.54,8.68,48.84666667,0.853333333,128.0833333,23.9,6.88,32.25,23.47348358,0.851485087,53.77,1.734933333
CG.BAR.SW.NE.18,CG,BAR,SW,NE,18,136,3,1,26.54,8.68,67.87333333,1.623333333,173,23.9,6.88,32.25,23.47348358,0.451021593,151.5,3.238933333
CG.BAR.SW.NE.18,CG,BAR,SW,NE,18,136,3,3,26.54,8.68,65.34,1.15,307.0833333,23.9,6.88,32.25,23.47348358,0.348546718,46.68,2.620266667
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,127,1,1,11.92,-1.18,14.67,NA,277.1666667,25.83,14.71,40.48,8.35118052,3.464101615,NA,2.6368
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,127,1,2,11.92,-1.18,12.86666667,NA,310.5833333,25.83,14.71,40.48,8.35118052,6,NA,1.5808
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,127,1,3,11.92,-1.18,10.26333333,NA,504.4166667,25.83,14.71,40.48,8.35118052,5,21.5,3.285866667
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,127,2,1,11.92,-1.18,10.66,NA,418.5833333,25.83,14.71,40.48,8.35118052,25.98076211,NA,2.4528
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,127,2,2,11.92,-1.18,10.22,NA,345,25.83,14.71,40.48,8.35118052,6.495190528,14.25,1.584533333
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,127,2,3,11.92,-1.18,12.65,NA,450.6666667,25.83,14.71,40.48,8.35118052,3.740272357,20,3.8192
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,127,3,1,11.92,-1.18,23.37,NA,486.8333333,25.83,14.71,40.48,8.35118052,5.119921116,NA,1.542933333
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,127,3,2,11.92,-1.18,21.23333333,NA,355.25,25.83,14.71,40.48,8.35118052,4.505635569,NA,2.053333333
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,127,3,3,11.92,-1.18,17.88,NA,204.4166667,25.83,14.71,40.48,8.35118052,2.058790549,23.5,1.938666667
CG.BOB.NE.NEW.18,CG,BOB,NE,NEW,18,122,1,2,16.22,4.96,14.1378,0.943333333,185.4166667,29.07038534,17.59495795,47.325,9.743747282,1.327988416,20.25,4.0176
CG.BOB.NE.NEW.18,CG,BOB,NE,NEW,18,122,1,3,16.29,4.6,12.41,2.34,252,22.3441321,14.36500454,45.92,10.04255528,4.610839676,180.75,3.5336
CG.BOB.NE.NEW.18,CG,BOB,NE,NEW,18,122,2,1,16.22,4.96,17.99666667,1.61,309.0833333,29.07038534,17.59495795,47.325,9.743747282,7.5,24.12,2.814933333
CG.BOB.NE.NEW.18,CG,BOB,NE,NEW,18,122,2,2,16.22,4.96,13.99333333,1.823333333,448.75,29.07038534,17.59495795,47.325,9.743747282,7.924058157,246.75,2.846933333
CG.BOB.NE.NEW.18,CG,BOB,NE,NEW,18,122,2,3,16.22,4.96,12.31666667,2.38,369.0833333,29.07038534,17.59495795,47.325,9.743747282,3.375263703,97.75,3.1056
CG.BOB.NE.NEW.18,CG,BOB,NE,NEW,18,122,3,2,16.15,5.33,12.56,1.116666667,316.4166667,35.79663859,20.82491136,48.73,9.434199275,3.056560249,23.15,6.1136
CG.BOB.NE.NEW.18,CG,BOB,NE,NEW,18,122,3,3,16.22,4.96,10.95,2.47,485.25,29.07038534,17.59495795,47.325,9.743747282,3.088792004,624.5,7.2336
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,135,1,1,21.325,5.41,16.87,1.476666667,153.5833333,19.46018765,10.23220915,35.42,16.39915988,0.564832544,NA,1.321066667
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,135,1,2,21.325,5.41,25.48666667,1.233333333,123.25,19.46018765,10.23220915,35.42,16.39916,0.618020515,NA,1.7744
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,135,1,3,21.325,5.41,27.81666667,1.086666667,137.5833333,19.46018765,10.23220915,35.42,16.39915988,1.788589425,NA,1.750933333
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,135,2,1,21.31,5.49,35.12,0.193333333,59.66666667,17.65772237,9.765499392,35.63,16.32575414,2.514594403,NA,1.435733333
