X,Y,location,block,pasture,year,TreeID,dbC,deg,FuelMoisture,LAI,mean_mph,RH,ros,SoilMaxC,tempC
683677.732304395,5094721.18244288,CG,BAR,NE,"18","1.2",1.34421874976825,1.06497861587399,0.715776080792688,0.402894533576979,1.22520349546861,0.900021858097503,2.26631843138982,0.439187032952156,0.952305812657664
683682.77960173,5094729.81447517,CG,BAR,NE,"18","1.3",1.34421874976825,1.06497861587399,0.950692775569958,0.522763981583353,1.22520349546861,0.900021858097503,0.260919957063725,2.63628715005498,1.06235277228692
683597.554699952,5094721.09633753,CG,BAR,NE,"18","2.1",1.34421874976825,1.06497861587399,1.1408035029252,0.449510430023903,1.22520349546861,0.900021858097503,0.083418054964307,0.20270170751638,0.197654176093892
683587.541970762,5094721.03507159,CG,BAR,NE,"18","2.2",1.34421874976825,1.06497861587399,0.846924293758835,0.273035964903407,1.22520349546861,0.900021858097503,0.105629377130916,0.54403274373649,0.383934783734481
683592.525981841,5094729.72625938,CG,BAR,NE,"18","2.3",1.34421874976825,1.06497861587399,1.4859223349693,0.13984768934077,1.22520349546861,0.900021858097503,0.0636250518180362,0.167753137254935,0.221630887968423
683632.678734338,5094798.94432926,CG,BAR,NE,"18","3.2",1.34214433811737,1.0259732262391,0.402769788725972,0.86239408426808,1.25237315608097,0.904772051077217,0.280146072412279,0.924972159586239,1.51791029790302
683637.720160901,5094807.52123106,CG,BAR,NE,"18","3.3",1.34214433811737,1.0259732262391,1.67078199453626,0.635974015811595,1.25237315608097,0.904772051077217,0.513952710954361,0.228330659041439,0.695017250619425
683687.690442745,5094721.19638007,CG,BAR,NE,"19","1.1",0.554386513696857,0.701658750623149,0.601494250970946,1.60491872052979,0.973069044985913,1.21800536462186,0.0714020001549011,0.106010663126383,0.339362691147211
683682.77960173,5094729.81447517,CG,BAR,NE,"19","1.3",0.554386513696857,0.701658750623149,0.453668598855756,2.13767182278034,0.973069044985913,1.21800536462186,0.389946829590733,0.104845710784334,0.684258469650084
683687.690442745,5094721.19638007,CG,BAR,NW,"18","1.1",1.27057713616211,0.933061511603176,2.02795900269237,0.253057723569012,1.22293112385375,0.847490312204199,0.148048460489814,0.203866659858428,0.16568522692785
683682.77960173,5094729.81447517,CG,BAR,NW,"18","1.3",1.27057713616211,0.933061511603176,1.59839990568192,0.432861895578573,1.22293112385375,0.847490312204199,0.119427040429776,1.2022308169937,0.238844937519369
683587.541970762,5094721.03507159,CG,BAR,NW,"18","2.2",1.27057713616211,0.933061511603176,1.12592127678332,1.16872711806215,1.22293112385375,0.847490312204199,0.422466526018598,0.182431536764742,0.863161627483124
683592.525981841,5094729.72625938,CG,BAR,NW,"18","2.3",1.27057713616211,0.933061511603176,1.50532574848504,1.21534301450907,1.22293112385375,0.847490312204199,0.318041714135205,0.907497874455516,1.09247735900108
683642.692439704,5094798.9602069,CG,BAR,NW,"18","3.1",1.27057713616211,0.933061511603176,1.2010869950153,0.965614997829124,1.22293112385375,0.847490312204199,0.0606397318722595,0.49976455473866,0.728215774753391
683632.678734338,5094798.94432926,CG,BAR,NW,"18","3.2",1.27057713616211,0.933061511603176,0.791711294301194,1.11212210094803,1.22293112385375,0.847490312204199,1.08870415905754,0.372784749455411,0.73067492468924
683637.720160901,5094807.52123106,CG,BAR,NW,"18","3.3",1.27057713616211,0.933061511603176,1.36462309549023,0.487802059248161,1.22293112385375,0.847490312204199,0.0561897131749005,0.617424741285524,0.765103023791131
683597.554699952,5094721.09633753,CG,BAR,NW,"19","2.1",0.570463203991153,0.601734831109047,0.394407314657431,2.13767182278034,0.913789785468038,1.20375478568272,0.0586269348311547,0.106360148828997,0.499822224461382
683587.541970762,5094721.03507159,CG,BAR,NW,"19","2.2",0.527937765148177,0.713930109159969,0.962750191864303,2.13767182278034,0.950345328837394,1.34737826753994,0.029730608449245,0.10787458687366,0.168451770605681
683592.525981841,5094729.72625938,CG,BAR,NW,"19","2.3",0.527937765148177,0.713930109159969,0.543310451557555,2.13767182278034,0.950345328837394,1.34737826753994,0.0336569572814669,0.104845710784334,0.608332215380735
683642.692439704,5094798.9602069,CG,BAR,NW,"19","3.1",0.527937765148177,0.713930109159969,0.266266606606676,2.13767182278034,0.950345328837394,1.34737826753994,0.0903800003249837,0.104845710784334,0.750655517918016
683632.678734338,5094798.94432926,CG,BAR,NW,"19","3.2",0.527937765148177,0.713930109159969,0.267057098593839,1.09880327339176,0.950345328837394,1.34737826753994,0.089529716610813,0.110134594417233,0.814286022508118
683637.720160901,5094807.52123106,CG,BAR,NW,"19","3.3",0.527937765148177,0.713930109159969,0.355720386206544,2.13767182278034,0.950345328837394,1.34737826753994,0.0760764683307771,0.110134594417233,0.516421486528365
683687.690442745,5094721.19638007,CG,BAR,SE,"18","1.1",1.46920205173358,0.772219062209862,0.520974624364697,1.12211122161522,0.520768294864529,0.762545684802262,0.321220444346484,0.232524487472813,0.838877521866612
683677.732304395,5094721.18244288,CG,BAR,SE,"18","1.2",1.44430911192306,0.856365520748054,0.553992328124421,0.552731343584947,0.543294413481321,0.812562422647482,0.0792992307003395,1.14281824754924,0.516114092786384
683682.77960173,5094729.81447517,CG,BAR,SE,"18","1.3",1.46920205173358,0.772219062209862,0.652379105467235,0.918999101382201,0.520768294864529,0.762545684802262,0.304363039648106,1.22087005446647,0.925869950847283
683592.525981841,5094729.72625938,CG,BAR,SE,"18","2.3",1.46920205173358,0.772219062209862,1.05206615666878,1.33521246251544,0.520768294864529,0.762545684802262,0.185456710012653,1.01467348992395,0.797071972957173
