Logger_ID,Date,Time_Stamp,1,2,3,4
R2,10/7/2019,16:01:50.1,23.25,23.75,25.25,28.96
R2,10/7/2019,16:01:51.0,23.25,23.75,25.25,28.63
R2,10/7/2019,16:01:51.1,23.25,23.75,25.5,28.63
R2,10/7/2019,16:01:52.0,23.25,24,25.5,28.63
R2,10/7/2019,16:01:52.1,23.25,24,25.5,29.28
R2,10/7/2019,16:01:53.0,23.25,24,25.5,28.96
R2,10/7/2019,16:01:53.1,23.25,24,25.5,28.96
R2,10/7/2019,16:01:54.0,23.25,24,25.5,28.63
R2,10/7/2019,16:01:54.1,23.25,23.75,25.5,28.96
R2,10/7/2019,16:01:55.0,23.25,23.75,25.25,28.63
R2,10/7/2019,16:01:56.0,23.25,23.75,25.5,28.96
R2,10/7/2019,16:01:56.1,23.25,24,25.5,28.63
R2,10/7/2019,16:01:57.0,23.25,24,25.5,28.96
R2,10/7/2019,16:01:57.1,23,23.75,25.5,28.96
R2,10/7/2019,16:01:58.0,23.25,23.75,25.5,28.96
R2,10/7/2019,16:01:58.1,23.25,23.75,25.5,28.31
R2,10/7/2019,16:01:59.0,23.25,23.75,25.25,28.63
R2,10/7/2019,16:01:59.1,23.25,23.75,25.5,28.96
R2,10/7/2019,16:02:00.0,23.25,23.75,25.5,28.96
R2,10/7/2019,16:02:00.1,23.25,23.75,25.5,28.96
R2,10/7/2019,16:02:01.0,23.25,24,25.25,28.63
R2,10/7/2019,16:02:02.0,23.25,23.75,25.25,28.63
R2,10/7/2019,16:02:02.1,23.25,23.75,25.25,28.63
R2,10/7/2019,16:02:03.0,23.25,23.75,25.25,28.96
R2,10/7/2019,16:02:03.1,23.25,23.75,25.25,28.63
R2,10/7/2019,16:02:04.0,23.25,23.75,25.25,28.96
R2,10/7/2019,16:02:04.1,23.25,23.75,25.25,28.96
R2,10/7/2019,16:02:05.0,23.25,23.75,25.25,28.63
R2,10/7/2019,16:02:05.1,23.25,23.75,25.25,28.96
R2,10/7/2019,16:02:06.0,23.25,23.75,25.25,28.63
R2,10/7/2019,16:02:06.1,23.25,23.75,25.25,28.63
R2,10/7/2019,16:02:07.0,23.25,23.75,25.25,28.63
R2,10/7/2019,16:02:08.0,23.25,23.75,25.5,28.96
R2,10/7/2019,16:02:08.1,23.25,23.75,25.5,28.96
R2,10/7/2019,16:02:09.0,23.25,24,25.5,28.63
R2,10/7/2019,16:02:09.1,23.25,23.75,25.5,28.96
R2,10/7/2019,16:02:10.0,23.25,24,25.5,28.63
R2,10/7/2019,16:02:10.1,23.25,24,25.5,28.31
R2,10/7/2019,16:02:11.0,23.25,24,25.5,28.63
R2,10/7/2019,16:02:11.1,23.25,24,25.75,28.63
R2,10/7/2019,16:02:12.0,23.25,24,25.5,28.63
R2,10/7/2019,16:02:12.1,23.25,24,25.75,28.63
R2,10/7/2019,16:02:13.0,23.25,24,25.75,28.63
R2,10/7/2019,16:02:14.0,23.25,24,25.75,28.63
R2,10/7/2019,16:02:14.1,23.25,24.25,25.75,28.63
R2,10/7/2019,16:02:15.0,23.25,24.25,25.75,28.63
R2,10/7/2019,16:02:15.1,23.25,24.25,25.75,28.96
R2,10/7/2019,16:02:16.0,23.5,24.25,25.75,28.63
