Logger_ID,Date,Time_Stamp,1,2,3,4,5,6,7
Y3,10/8/2019,0:59:34.0,22.75,23.25,23,19.25,nan,nan,17.03
Y3,10/8/2019,0:59:35.0,22.75,23,23,19.25,nan,nan,16.39
Y3,10/8/2019,0:59:35.1,22.75,23,23,19.25,nan,nan,16.39
Y3,10/8/2019,0:59:36.0,22.75,23,22.75,19.25,nan,nan,16.39
Y3,10/8/2019,0:59:37.0,22.75,22.75,22.75,19.25,nan,nan,16.06
Y3,10/8/2019,0:59:38.0,22.75,22.75,22.5,19.25,nan,nan,16.06
Y3,10/8/2019,0:59:38.1,22.5,22.75,22.5,22.5,nan,nan,17.03
Y3,10/8/2019,0:59:39.0,22.5,22.75,22.5,24.25,nan,nan,16.39
Y3,10/8/2019,0:59:40.0,22.5,22.75,22.25,25.25,nan,nan,16.39
Y3,10/8/2019,0:59:41.0,22.5,22.75,22.25,27,nan,nan,16.39
Y3,10/8/2019,0:59:41.1,22.5,22.5,22.25,26.25,nan,nan,17.03
Y3,10/8/2019,0:59:42.0,22.25,22.5,22,25.75,nan,nan,16.71
Y3,10/8/2019,0:59:43.0,22.5,22.5,22,25.25,nan,nan,17.03
Y3,10/8/2019,0:59:44.0,22.5,22.5,22,25,nan,nan,16.71
Y3,10/8/2019,0:59:44.1,22.25,22.25,22,24.5,nan,nan,16.39
Y3,10/8/2019,0:59:45.0,22.25,22.25,22,24.25,nan,nan,16.39
Y3,10/8/2019,0:59:46.0,22.25,22.25,22,24,nan,nan,16.71
Y3,10/8/2019,0:59:46.1,22.25,22.25,21.75,24,nan,nan,17.03
Y3,10/8/2019,0:59:47.0,22,22.25,22,23.75,nan,nan,16.71
Y3,10/8/2019,0:59:48.0,22,22.25,22,23.75,nan,nan,17.03
Y3,10/8/2019,0:59:49.0,22,22,22,23.5,nan,nan,16.71
Y3,10/8/2019,0:59:49.1,22,22,22,23.25,nan,nan,16.06
Y3,10/8/2019,0:59:50.0,22,22,22,23.25,nan,nan,16.06
Y3,10/8/2019,0:59:51.0,21.75,21.75,22,23,nan,nan,16.39
Y3,10/8/2019,0:59:52.0,21.75,21.75,22,23,nan,nan,16.71
Y3,10/8/2019,0:59:52.1,21.75,21.75,21.75,23,nan,nan,17.03
Y3,10/8/2019,0:59:53.0,21.5,21.5,21.75,23,nan,nan,16.39
Y3,10/8/2019,0:59:54.0,21.5,21.5,21.75,23,nan,nan,16.39
Y3,10/8/2019,0:59:55.0,21.5,21.5,21.75,23,nan,nan,16.39
Y3,10/8/2019,0:59:55.1,21.75,21.5,21.75,23,nan,nan,17.35
Y3,10/8/2019,0:59:56.0,21.75,21.5,21.75,22.75,nan,nan,16.71
Y3,10/8/2019,0:59:57.0,21.75,21.5,21.75,22.75,nan,nan,17.35
Y3,10/8/2019,0:59:58.0,21.75,21.5,21.75,22.75,nan,nan,16.06
Y3,10/8/2019,0:59:58.1,21.75,21.25,21.75,22.75,nan,nan,16.71
Y3,10/8/2019,0:59:59.0,21.5,21.25,21.75,22.75,nan,nan,16.39
Y3,10/8/2019,0:00:00.0,21.5,21.25,21.75,22.5,nan,nan,16.71
Y3,10/8/2019,0:00:00.1,21.5,21.25,21.75,22.75,nan,nan,16.06
Y3,10/8/2019,0:00:01.0,21.5,21.25,21.75,22.5,nan,nan,16.71
Y3,10/8/2019,0:00:02.0,21.5,21.25,21.75,22.5,nan,nan,16.71
